統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10311,連江縣南竿鄉,仁愛村,113,572,310,262,3,6,4,3,4,5,3,3,5,1,2,5,3,3,5,0,2,2,0,1,2,1,2,2,4,2,1,2,2,2,4,4,5,2,9,2,3,2,3,6,1,10,4,4,6,4,7,8,9,5,3,1,8,5,5,3,3,5,10,5,2,7,6,4,2,7,2,3,7,4,4,5,4,4,5,4,6,2,6,4,6,1,3,2,3,2,10,6,4,2,2,2,2,2,4,4,6,7,4,2,2,2,7,6,2,5,6,6,6,1,6,1,6,6,8,6,5,2,8,7,6,7,4,0,2,1,3,4,5,2,2,1,1,4,1,1,3,1,1,1,1,0,0,0,0,1,1,0,0,0,2,1,3,0,2,0,0,1,2,1,0,2,0,3,1,0,0,1,0,2,1,0,0,1,0,1,1,1,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10311,連江縣南竿鄉,介壽村,488,2380,1329,1051,10,21,17,15,12,16,10,7,8,14,19,9,9,1,7,8,12,11,11,11,9,6,10,11,7,9,14,8,16,9,19,12,17,15,38,23,20,21,21,8,16,12,11,18,13,21,24,15,28,12,11,18,24,23,16,14,17,11,21,15,34,22,22,17,29,21,27,23,25,19,24,19,20,23,17,20,26,17,25,16,24,14,22,13,21,17,20,15,24,15,23,11,16,5,20,19,21,15,28,15,17,22,26,29,25,8,13,20,24,13,29,17,28,17,22,15,16,12,25,14,21,15,16,11,11,11,8,3,10,4,10,7,12,15,9,5,6,14,5,1,8,4,3,6,6,3,5,1,6,5,3,4,1,3,3,5,4,2,0,2,4,4,3,4,1,1,2,1,0,3,2,3,2,2,1,2,2,1,0,1,2,2,1,3,1,0,0,1,0,1,0,3,0,1,0,0,0,0,1,0,0,0,
10311,連江縣南竿鄉,四維村,27,176,99,77,1,2,1,0,0,2,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,1,1,1,3,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0,1,2,0,0,1,1,2,1,3,3,0,1,1,4,1,0,4,0,3,2,0,1,1,4,2,2,0,3,2,1,1,1,0,1,2,1,1,4,0,3,1,0,1,2,0,2,2,2,1,1,0,0,3,5,1,3,1,1,5,3,1,3,1,5,1,0,1,3,1,3,1,0,1,0,3,1,3,4,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
10311,連江縣南竿鄉,復興村,230,1381,795,586,8,9,16,12,10,9,4,6,4,3,5,5,5,4,8,11,6,2,2,5,5,4,6,9,6,7,5,7,5,7,9,7,8,5,11,5,5,8,9,9,10,10,15,7,14,5,8,7,9,5,17,8,11,12,15,9,13,6,13,5,17,14,15,12,7,12,12,7,11,9,15,10,15,6,7,12,19,15,13,17,7,8,19,10,10,7,17,7,11,8,15,8,9,7,12,12,15,10,13,7,17,12,22,9,20,16,17,7,16,4,15,15,17,11,17,8,16,9,6,7,15,2,14,2,7,5,2,4,9,2,5,4,4,7,2,5,7,4,4,2,2,1,2,3,2,2,3,2,2,1,3,1,1,5,4,1,4,3,2,4,1,1,3,4,2,1,2,2,0,3,0,1,1,1,1,2,1,1,0,2,0,3,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,
10311,連江縣南竿鄉,津沙村,71,376,238,138,3,2,2,1,1,1,4,0,1,0,0,1,0,0,0,0,1,0,2,4,0,0,1,1,1,0,1,1,1,1,4,2,1,0,1,5,1,2,3,1,2,3,4,0,4,2,4,1,2,0,2,0,2,1,2,1,3,1,1,2,4,2,6,1,1,5,1,2,4,3,2,5,2,3,1,2,1,2,3,5,3,1,1,2,3,2,5,0,3,0,6,2,5,1,5,4,1,5,6,0,4,3,10,1,5,3,5,5,7,3,7,5,1,3,7,2,9,4,8,6,6,4,4,2,5,1,7,0,0,2,1,4,2,1,4,0,1,1,1,0,1,0,3,2,2,1,2,0,2,0,3,0,2,0,2,1,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10311,連江縣南竿鄉,清水村,172,869,507,362,12,9,3,2,6,5,5,4,7,6,3,4,3,7,5,5,8,5,7,3,1,4,6,1,8,4,4,3,5,4,5,4,4,4,4,5,8,2,8,7,6,3,7,3,6,4,12,7,7,7,12,8,18,4,4,5,12,10,12,4,8,3,7,7,11,7,6,6,11,14,8,12,13,7,3,4,7,5,14,6,8,11,8,7,8,4,6,4,14,5,5,5,8,6,8,3,7,9,7,7,7,5,11,4,6,8,9,6,5,3,12,11,8,4,7,5,10,3,13,5,3,6,1,1,3,1,6,1,9,2,1,0,4,4,2,1,1,0,3,2,3,0,2,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
10311,連江縣南竿鄉,珠螺村,29,215,128,87,0,0,1,1,1,1,0,2,1,0,0,1,2,1,0,1,1,1,0,1,3,0,1,2,0,1,2,0,1,0,0,0,1,1,3,1,1,1,2,2,0,1,4,0,1,0,3,1,2,0,5,2,1,0,2,0,1,1,3,1,2,2,1,0,3,1,2,3,4,4,2,3,0,1,2,1,0,1,2,1,3,1,3,1,3,2,3,3,1,0,0,1,4,0,2,3,2,1,4,3,5,0,1,2,1,2,7,3,0,2,5,1,3,5,6,0,1,2,0,1,1,1,2,2,1,1,0,2,3,0,0,0,2,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10311,連江縣南竿鄉,福沃村,175,977,589,388,2,5,2,4,6,7,4,7,7,4,5,1,2,2,3,3,2,0,5,1,1,1,3,3,6,5,2,3,9,1,2,3,3,3,4,8,4,4,5,6,7,2,5,6,14,7,6,3,8,10,6,5,8,7,5,6,7,3,10,6,3,5,5,5,14,8,11,7,11,5,13,15,12,8,7,8,10,7,12,2,12,10,18,5,12,8,21,8,9,5,11,6,5,6,18,4,12,3,6,6,9,6,21,4,11,8,12,9,14,6,18,8,13,10,15,7,4,6,10,6,8,4,4,3,7,2,7,1,8,6,6,2,3,3,2,3,3,3,4,2,3,0,2,1,1,5,6,2,2,1,2,2,2,0,0,3,1,3,1,2,2,2,2,3,2,0,1,2,0,1,0,2,1,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,
10311,連江縣南竿鄉,馬祖村,117,588,317,271,6,3,5,3,5,3,2,1,1,1,2,4,1,1,3,3,1,2,4,1,2,1,4,3,4,2,4,3,4,2,3,2,4,2,2,2,6,4,1,3,6,5,3,5,8,5,6,4,5,9,7,4,7,2,4,2,3,9,1,4,8,7,2,2,7,7,1,4,1,6,10,3,5,3,2,9,7,7,5,4,6,1,4,6,2,6,6,9,5,4,6,4,10,3,6,6,7,6,5,7,6,4,6,3,7,0,3,4,2,6,9,0,2,2,2,1,8,5,3,10,6,3,2,4,7,3,6,1,3,4,3,2,3,2,1,1,3,2,3,1,2,0,1,1,1,4,1,1,1,1,1,0,2,0,1,0,0,3,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10311,連江縣北竿鄉,后沃村,45,190,108,82,2,1,1,0,4,0,1,0,0,1,0,0,0,2,1,0,0,2,1,0,1,0,1,0,0,1,1,2,0,0,4,1,0,0,0,1,0,1,0,0,0,2,0,1,3,1,1,1,0,0,1,0,0,2,4,0,1,2,1,0,2,1,2,1,2,2,4,1,1,3,2,1,2,3,3,2,1,0,1,2,2,0,0,1,1,2,2,0,2,2,2,2,0,0,4,0,1,2,1,2,3,0,1,2,2,0,3,2,1,2,2,2,3,1,1,2,1,3,4,0,1,1,5,1,2,2,0,1,2,2,0,1,2,3,2,0,0,2,0,0,0,0,3,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
